GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2
2085514146171216768,3.89,2.36,-2.12
2085519781168726912,4.79,5.83,-2.96
2085527924426959104,4.57,5.83,-2.87
2085599186522693632,2.95,1.94,-1.19
2085625368643700736,3.55,1.57,-1.58
2085676083618453376,4.47,5.7,-2.71
2085724496490595584,4.17,6.45,-2.74
2086298132320300288,3.8,2.35,-2.03
2086302805244921984,3.55,2.38,-1.75
2086306584816171392,7.5,0.5,-0.5
2086307031492729856,5.25,6,-3.1
2086316205543022336,3.72,5.32,-2.07
2086320878467532032,3.8,3.02,-2.08
2086366370762352640,4.17,4.87,-2.52
2086388807671765504,4.47,6.05,-2.77
2086389357427331712,4.37,1.59,-1.11
2086398222240415616,2.14,1.31,-0.832
2086414268238649984,4.68,6.11,-2.88
2086419903235549312,2.19,0.75,-0.607
2086441721667415424,4.27,6.2,-2.48
2086474260339833088,3.39,1.91,-1.66
2086485186737501696,4.47,3.9,-3
2086498312157538688,8.8,3.3,-4
2086505630781210752,3.02,0.5,-0.686
2086507280048687488,4.57,6,-2.83
2086526693301504896,4.79,5,-3.04
2086532122140235904,4.68,5.65,-3
2086541158751075968,3.24,1.82,-1.55
2086543048537237760,5.89,5.62,-3.63
2086552256947163392,3.02,1.3,-1.31
2086577373912703104,2.8,0.3,-0.3
2086586273085111808,2.09,0.633,-0.493
2086625752425381632,4.29,0.7,-0.56
2086629463276947456,6.03,5.43,-3.88
2086631456141614848,4.17,2.8,-2.4
2086681002884954240,3.55,1.72,-1.77
2086724227433964928,4.17,3.06,-2.43
2086727319810829440,1.48,0.674,-0.355
2086734157398583424,4.68,6.06,-2.75
2086784185178032384,2.34,2.15,-0.872
2086809645744257792,4.17,2.94,-2.41
2086814864122389760,4.79,6.23,-3.05
2086818579276362624,3.89,1.7,-2.02
2086827237930612096,3.02,1.67,-1.34
2086830502105850240,4.79,3.69,-2.94
2086833663201784704,4.17,6.16,-2.44
2086838576644246144,3.31,1.55,-1.53
2086851495906130176,3.98,4.28,-2.31
2086853351332014976,4.68,5.87,-2.72
2086856271911588224,2.75,1.34,-1.04
2086877368789994240,2,1.35,-0.621
2086935024430952960,3.8,2.73,-2.08
2086940448965828992,3.72,1,-1.5
2087167708577798784,2.04,0.576,-0.619
2087171453788422528,5.3,2.4,-3
2087191485516004224,4.79,5.61,-3.04
2087215262455233664,3.47,4.22,-1.9
2087243952836878080,7.76,3.51,-3.31
2087263361789975040,4.07,2.8,-2.31
2089570519439964416,0.7,0.15,-0.15
2096535783864546944,4.6,1,-1
2099011888349441536,1.9,0.5,-0.7
2099071433776757888,4.37,4.88,-2.66
2099073667159859840,3.63,1.06,-1.51
2099122522408063232,2.34,1,-0.841
2099156817725596800,3.98,3.82,-2.2
2099183583961614208,3.39,5.26,-1.95
2099219867845754752,3.39,2.18,-1.66
2099524776162690944,4.27,6.06,-2.44
2099527421862552832,3.72,2.46,-1.99
2099534293810509312,3.55,2.22,-2
2099541715513813504,5.25,1.41,-1.39
2099605968225288960,8.13,1.1,-1
2099606483621385216,2.84,0.35,-0.35
2099619059285601280,3.89,2.85,-2.22
2099620777272914944,5.75,6.3,-4.27
2099632837540824192,3.63,2.8,-1.82
2099651529238509696,11.75,2.2,-5.6
2099656472742686848,10.47,2.3,-2.1
2099681216051775616,4.07,0.7,-1.06
2099713617285398528,3.72,2.8,-2.05
2099714751157275264,4.68,5.89,-3.03
2099728391973441920,5.37,2.27,-2.96
2099735057762220288,4.47,5.37,-2.78
2099783127036908416,7.4,1.2,-1.2
2099851331117081600,4.79,6,-2.9
2099862910348755712,2.79,NULL,NULL
2099912182214036608,4.27,2.48,-2.51
2099925719951103872,1,NULL,NULL
2099925719951103872,2,2,-1.3
2099980111415659776,5.89,3.64,-3.24
2099980386293545216,4.57,4.78,-2.85
2100009488992720896,3.47,1.65,-1.56
2100009935669354240,6.92,1.6,-2
2100018422524180864,3.72,5.97,-2.13
2100050922538767744,4.17,2.83,-2.44
